traveller_id,persona_type,cost_sensitivity,time_sensitivity,reliability_sensitivity,comfort_preference,transfer_tolerance,departure_time_flexibility,sustainability_preference
T000541,Mobility-Constrained Traveler,0.5419,0.6155,0.9131,0.9027,0.2625,0.5219,0.3592
T000542,Mobility-Constrained Traveler,0.6584,0.3373,0.8857,0.816,0.0861,0.5336,0.4605
T000543,Mobility-Constrained Traveler,0.4047,0.4107,0.8426,0.7435,0.3015,0.6476,0.396
T000544,Mobility-Constrained Traveler,0.8167,0.3696,0.932,0.82,0.1738,0.3533,0.2805
T000545,Mobility-Constrained Traveler,0.595,0.459,0.9526,0.664,0.2322,0.5058,0.4654
T000546,Mobility-Constrained Traveler,0.7304,0.4643,0.9631,0.6713,0.2227,0.555,0.2907
T000547,Mobility-Constrained Traveler,0.4798,0.5113,0.8252,0.5339,0.2469,0.4845,0.3855
T000548,Mobility-Constrained Traveler,0.4174,0.315,0.8317,0.9744,0.0888,0.692,0.2273
T000549,Mobility-Constrained Traveler,0.624,0.2904,0.8497,0.8882,0.1254,0.3616,0.4859
T000550,Mobility-Constrained Traveler,0.8954,0.6976,0.9239,0.8449,0.1052,0.4781,0.3907
T000551,Mobility-Constrained Traveler,0.7849,0.529,0.6013,0.9581,0.2892,0.6211,0.4474
T000552,Mobility-Constrained Traveler,0.8299,0.683,0.9838,0.8158,0.1284,0.7122,0.5735
T000553,Mobility-Constrained Traveler,0.6124,0.1352,0.9744,0.8781,0.2122,0.5546,0.5606
T000554,Mobility-Constrained Traveler,0.3943,0.3351,0.8562,0.7017,0.2024,0.6836,0.4875
T000555,Mobility-Constrained Traveler,0.4974,0.3062,0.949,0.8344,0.1828,0.6477,0.1757
T000556,Mobility-Constrained Traveler,0.5108,0.5332,0.8456,0.7761,0.1413,0.5739,0.4959
T000557,Mobility-Constrained Traveler,0.5556,0.4115,0.9512,0.9122,0.079,0.5331,0.5916
T000558,Mobility-Constrained Traveler,0.6707,0.3889,0.6841,0.7946,0.1559,0.616,0.2993
T000559,Mobility-Constrained Traveler,0.5167,0.3454,0.7509,0.7818,0.1937,0.8274,0.3163
T000560,Mobility-Constrained Traveler,0.5801,0.3347,0.8133,0.8017,0.1224,0.469,0.3702
T000561,Mobility-Constrained Traveler,0.7138,0.229,0.977,0.9335,0.0632,0.4016,0.3378
T000562,Mobility-Constrained Traveler,0.7261,0.2562,0.9188,0.8165,0.2555,0.4098,0.5463
T000563,Mobility-Constrained Traveler,0.6523,0.3591,0.9855,0.9723,0.3023,0.5255,0.2694
T000564,Mobility-Constrained Traveler,0.7719,0.4126,0.8603,0.3536,0.1401,0.5989,0.3352
T000565,Mobility-Constrained Traveler,0.7396,0.2952,0.9656,0.8366,0.1783,0.3655,0.1814
T000566,Mobility-Constrained Traveler,0.7491,0.6079,0.966,0.713,0.354,0.5829,0.3499
T000567,Mobility-Constrained Traveler,0.5137,0.3685,0.918,0.8694,0.374,0.4381,0.28
T000568,Mobility-Constrained Traveler,0.664,0.1656,0.9355,0.9745,0.1065,0.6682,0.3028
T000569,Mobility-Constrained Traveler,0.6901,0.4867,0.9652,0.8605,0.2448,0.6061,0.3827
T000570,Mobility-Constrained Traveler,0.5925,0.4496,0.9465,0.8428,0.492,0.4466,0.6504
T000571,Mobility-Constrained Traveler,0.6217,0.4249,0.9884,0.8756,0.2628,0.4169,0.4396
T000572,Mobility-Constrained Traveler,0.752,0.3533,0.9482,0.8798,0.0815,0.4668,0.4104
T000573,Mobility-Constrained Traveler,0.4803,0.3437,0.9837,0.8882,0.1396,0.4826,0.4265
T000574,Mobility-Constrained Traveler,0.5741,0.3031,0.836,0.8084,0.0902,0.6241,0.5596
T000575,Mobility-Constrained Traveler,0.695,0.5266,0.7107,0.6842,0.3623,0.4882,0.5002
T000576,Mobility-Constrained Traveler,0.6301,0.258,0.9217,0.8112,0.3412,0.3948,0.5788
T000577,Mobility-Constrained Traveler,0.7118,0.3836,0.906,0.8017,0.0827,0.421,0.3339
T000578,Mobility-Constrained Traveler,0.4714,0.3881,0.9395,0.8097,0.2586,0.4393,0.3435
T000579,Mobility-Constrained Traveler,0.4987,0.3431,0.9085,0.8225,0.2734,0.3899,0.2733
T000580,Mobility-Constrained Traveler,0.4503,0.4032,0.9339,0.8252,0.2742,0.4035,0.3921
T000581,Mobility-Constrained Traveler,0.5981,0.5381,0.9674,0.8706,0.2251,0.4229,0.354
T000582,Mobility-Constrained Traveler,0.6417,0.2455,0.9976,0.9153,0.0992,0.3274,0.4737
T000583,Mobility-Constrained Traveler,0.493,0.2637,0.882,0.9145,0.1983,0.7187,0.3249
T000584,Mobility-Constrained Traveler,0.74,0.2953,0.9296,0.9228,0.1843,0.6258,0.4167
T000585,Mobility-Constrained Traveler,0.576,0.1597,0.9187,0.89,0.1662,0.5934,0.4024
T000586,Mobility-Constrained Traveler,0.6806,0.3644,0.8726,0.7498,0.1186,0.536,0.4673
T000587,Mobility-Constrained Traveler,0.3983,0.3435,0.9445,0.7994,0.2464,0.7281,0.3428
T000588,Mobility-Constrained Traveler,0.5263,0.4605,0.5461,0.7983,0.2514,0.3903,0.549
T000589,Mobility-Constrained Traveler,0.8139,0.492,0.9838,0.9178,0.3142,0.5771,0.3839
T000590,Mobility-Constrained Traveler,0.8077,0.2805,0.8261,0.8717,0.1648,0.3924,0.3659
T000591,Mobility-Constrained Traveler,0.5221,0.3125,0.9309,0.9424,0.0627,0.5885,0.3324
T000592,Mobility-Constrained Traveler,0.4047,0.3499,0.8811,0.8762,0.1988,0.6546,0.2484
T000593,Mobility-Constrained Traveler,0.6842,0.4958,0.8841,0.8911,0.2285,0.4567,0.2319
T000594,Mobility-Constrained Traveler,0.4251,0.2407,0.9139,0.5694,0.3946,0.5513,0.5301
T000595,Mobility-Constrained Traveler,0.5267,0.3647,0.8633,0.9206,0.2946,0.3152,0.2551
T000596,Mobility-Constrained Traveler,0.7091,0.1638,0.7422,0.8292,0.0684,0.6995,0.2043
T000597,Mobility-Constrained Traveler,0.7753,0.1666,0.8693,0.908,0.2222,0.7626,0.4178
T000598,Mobility-Constrained Traveler,0.5978,0.1797,0.97,0.7403,0.1942,0.5754,0.4646
T000599,Mobility-Constrained Traveler,0.7356,0.3671,0.9491,0.5968,0.4368,0.3404,0.1268
T000600,Mobility-Constrained Traveler,0.7674,0.2327,0.8717,0.7811,0.2407,0.6192,0.3715
